step,step_distance,ref_step_epd,agent_step_epd_accounted,agent_step_epd_raw,step_saving_accounted_pct,step_saving_raw_pct,step_net_saving_accounted_pct,step_net_saving_raw_pct,running_saving_accounted_pct,running_saving_raw_pct,running_saving_iso_pct,running_net_saving_accounted_pct,running_net_saving_raw_pct,running_net_saving_iso_pct,rolling_saving_accounted_pct,rolling_saving_raw_pct,rolling_net_saving_accounted_pct,rolling_net_saving_raw_pct,rolling_raw_energy_saved,rolling_accounted_energy_saved,rolling_pure_energy_saved,rolling_pure_net_energy_saved
19.00000000,1.08389008,0.00221523,0.00217169,0.00216665,1.96553659,2.19320321,1.96553659,2.19320321,5.98167467,6.25462246,5.54910994,5.98167467,6.25462246,5.96812153,3.38900876,3.69984698,3.38900876,3.69984698,0.00070685,0.00065823,0.00061306,0.00065682
20.00000000,1.09702289,0.00238859,0.00234751,0.00234266,1.71963716,1.92286539,1.71963716,1.92286539,5.59565878,5.86016035,5.19391203,5.59565878,5.86016035,5.58307362,2.96750402,3.25797319,2.96750402,3.25797319,0.00071602,0.00066550,0.00062032,0.00066409
21.00000000,1.10796487,0.00225668,0.00221851,0.00221389,1.69140196,1.89623308,1.69140196,1.89623308,5.30284739,5.56111193,4.92360163,5.30284739,5.56111193,5.29096842,2.62951207,2.90036964,2.62951207,2.90036964,0.00072404,0.00067237,0.00062719,0.00067095
22.00000000,1.12193453,0.00264892,0.00261306,0.00260874,1.35388601,1.51691628,1.35388601,1.51691628,4.98943949,5.23731804,4.63472795,4.98943949,5.23731804,4.97832775,2.33239412,2.58074021,2.33239412,2.58074021,0.00073685,0.00068470,0.00063952,0.00068328
23.00000000,1.13608038,0.00267185,0.00263787,0.00263389,1.27202022,1.42104173,1.27202022,1.42104173,4.72521925,4.96318150,4.39098120,4.72521925,4.96318150,4.71474552,2.09450507,2.32293391,2.09450507,2.32293391,0.00074664,0.00069467,0.00064949,0.00069325
24.00000000,1.15175962,0.00283168,0.00279945,0.00279584,1.13809812,1.26554477,1.13809812,1.26554477,4.48212910,4.70936728,4.16679859,4.48212910,4.70936728,4.47225142,1.87871420,2.08719897,1.87871420,2.08719897,0.00075374,0.00070260,0.00065742,0.00070118
25.00000000,1.16632354,0.00272554,0.00269520,0.00269197,1.11319733,1.23156285,1.11319733,1.23156285,4.28487873,4.50269794,3.98447704,4.28487873,4.50269794,4.27546263,1.69521832,1.88560653,1.69521832,1.88560653,0.00075508,0.00070541,0.00066023,0.00070399
26.00000000,1.18004310,0.00264597,0.00261791,0.00261507,1.06069195,1.16784251,1.06069195,1.16784251,4.11793280,4.32709312,3.82971549,4.11793280,4.32709312,4.10889959,1.54363084,1.71796751,1.54363084,1.71796751,0.00074998,0.00070239,0.00065721,0.00070097
27.00000000,1.19386029,0.00266092,0.00263500,0.00263256,0.97406077,1.06573462,0.97406077,1.06573462,3.96676779,4.16727114,3.68932819,3.96676779,4.16727114,3.95807242,1.40108550,1.55861187,1.40108550,1.55861187,0.00074394,0.00069895,0.00065378,0.00069754
28.00000000,1.20853877,0.00275322,0.00272910,0.00272705,0.87595135,0.95022637,0.87595135,0.95022637,3.82367086,4.01515579,3.55640578,3.82367086,4.01515579,3.81529450,1.28335130,1.42501628,1.28335130,1.42501628,0.00073551,0.00069358,0.00064841,0.00069217
29.00000000,1.22309959,0.00274779,0.00272524,0.00272357,0.82084072,0.88150156,0.82084072,0.88150156,3.69477677,3.87744260,3.43650699,3.69477677,3.87744260,3.68668222,1.17793441,1.30393863,1.17793441,1.30393863,0.00072579,0.00068729,0.00064211,0.00068587
30.00000000,1.23686254,0.00267375,0.00265293,0.00265162,0.77838492,0.82748950,0.77838492,0.82748950,3.58111525,3.75549650,3.33046126,3.58111525,3.75549650,3.57325864,1.08961940,1.20100629,1.08961940,1.20100629,0.00071265,0.00067785,0.00063268,0.00067644
31.00000000,1.25015783,0.00263244,0.00261357,0.00261252,0.71673709,0.75655580,0.71673709,0.75655580,3.47749662,3.64405370,3.23350239,3.47749662,3.64405370,3.46985412,1.00359559,1.10033536,1.00359559,1.10033536,0.00070041,0.00066942,0.00062424,0.00066800
32.00000000,1.26519608,0.00281395,0.00279664,0.00279567,0.61530757,0.64960396,0.61530757,0.64960396,3.37193346,3.53066468,3.13492799,3.37193346,3.53066468,3.36450934,0.92925185,1.01314247,0.92925185,1.01314247,0.00068612,0.00065875,0.00061357,0.00065733
33.00000000,1.27878547,0.00267555,0.00265966,0.00265879,0.59399188,0.62627691,0.59399188,0.62627691,3.28020501,3.43213010,3.04890823,3.28020501,3.43213010,3.27295852,0.86294281,0.93549418,0.86294281,0.93549418,0.00066927,0.00064532,0.00060015,0.00064391
34.00000000,1.29224765,0.00266922,0.00265487,0.00265413,0.53747326,0.56504607,0.53747326,0.56504607,3.19401407,3.33953500,2.96793556,3.19401407,3.33953500,3.18693066,0.80218482,0.86466420,0.80218482,0.86466420,0.00064968,0.00062894,0.00058377,0.00062753
35.00000000,1.30511224,0.00261553,0.00260281,0.00260223,0.48628977,0.50857103,0.48628977,0.50857103,3.11423135,3.25378323,2.89275074,3.11423135,3.25378323,3.10729146,0.74042147,0.79348934,0.74042147,0.79348934,0.00063006,0.00061232,0.00056714,0.00061090
