step,step_distance,ref_step_epd,agent_step_epd_accounted,agent_step_epd_raw,step_saving_accounted_pct,step_saving_raw_pct,step_net_saving_accounted_pct,step_net_saving_raw_pct,running_saving_accounted_pct,running_saving_raw_pct,running_saving_iso_pct,running_net_saving_accounted_pct,running_net_saving_raw_pct,running_net_saving_iso_pct,rolling_saving_accounted_pct,rolling_saving_raw_pct,rolling_net_saving_accounted_pct,rolling_net_saving_raw_pct,rolling_raw_energy_saved,rolling_accounted_energy_saved,rolling_pure_energy_saved,rolling_pure_net_energy_saved
19.00000000,1.02159452,0.00165463,0.00160427,0.00160180,3.04358172,3.19322467,3.04358172,3.19322467,9.62536812,9.79356289,8.90162659,9.62536812,9.79356289,9.52935410,5.49817038,5.69535398,5.49817038,5.69535398,0.00070822,0.00068732,0.00063818,0.00068080
20.00000000,1.02920675,0.00180495,0.00175669,0.00175434,2.67375207,2.80419874,2.67375207,2.80419874,8.89072609,9.05391407,8.22582054,8.89072609,9.05391407,8.80251217,4.72382975,4.91263628,4.72382975,4.91263628,0.00070861,0.00068612,0.00063698,0.00067960
21.00000000,1.03476703,0.00168284,0.00163870,0.00163650,2.62304592,2.75394440,2.62304592,2.75394440,8.35148144,8.51105785,7.72773838,8.35148144,8.51105785,8.26872730,4.12747002,4.30929852,4.12747002,4.30929852,0.00070996,0.00068600,0.00063686,0.00067948
22.00000000,1.04294300,0.00203172,0.00198965,0.00198764,2.07063198,2.16950703,2.07063198,2.16950703,7.77259541,7.92506266,7.19418907,7.77259541,7.92506266,7.69586706,3.62052059,3.78511739,3.62052059,3.78511739,0.00071763,0.00069356,0.00064442,0.00068704
23.00000000,1.05129015,0.00204985,0.00201086,0.00200907,1.90178752,1.98912251,1.90178752,1.98912251,7.29062986,7.43615913,6.74917936,7.29062986,7.43615913,7.21879768,3.22509265,3.37425327,3.22509265,3.37425327,0.00072247,0.00069870,0.00064957,0.00069219
24.00000000,1.06101930,0.00219073,0.00215395,0.00215240,1.67889225,1.74974895,1.67889225,1.74974895,6.85162783,6.98949099,6.34391975,6.85162783,6.98949099,6.78427649,2.87465143,3.00833917,2.87465143,3.00833917,0.00072527,0.00070219,0.00065306,0.00069568
25.00000000,1.06977057,0.00209451,0.00206048,0.00205917,1.62475848,1.68738735,1.62475848,1.68738735,6.50169945,6.63279200,6.01993179,6.50169945,6.63279200,6.43778610,2.58757424,2.70719743,2.58757424,2.70719743,0.00072345,0.00070144,0.00065231,0.00069492
26.00000000,1.07778573,0.00202232,0.00199087,0.00198979,1.55546820,1.60854328,1.55546820,1.60854328,6.21184206,6.33665228,5.75074577,6.21184206,6.33665228,6.15066814,2.35243797,2.45952106,2.35243797,2.45952106,0.00071470,0.00069409,0.00064496,0.00068757
27.00000000,1.08590412,0.00203460,0.00200529,0.00200444,1.44091392,1.48223662,1.44091392,1.48223662,5.95394611,6.07247734,5.51092339,5.95394611,6.07247734,5.89516830,2.12779713,2.22175860,2.12779713,2.22175860,0.00070491,0.00068599,0.00063685,0.00067947
28.00000000,1.09481239,0.00211615,0.00208881,0.00208811,1.29186773,1.32484245,1.29186773,1.32484245,5.71173334,5.82400465,5.28571367,5.71173334,5.82400465,5.65521431,1.93719542,2.01924586,1.93719542,2.01924586,0.00069164,0.00067455,0.00062541,0.00066803
29.00000000,1.10364532,0.00211111,0.00208601,0.00208532,1.18894339,1.22161078,1.18894339,1.22161078,5.49464989,5.60147238,5.08348703,5.49464989,5.60147238,5.44010019,1.76740921,1.83877778,1.76740921,1.83877778,0.00067797,0.00066264,0.00061351,0.00065612
30.00000000,1.11179733,0.00204546,0.00202238,0.00202171,1.12815082,1.16083086,1.12815082,1.16083086,5.30601072,5.40816975,4.90719414,5.30601072,5.40816975,5.25309706,1.62311387,1.68545973,1.62311387,1.68545973,0.00066082,0.00064717,0.00059804,0.00064065
31.00000000,1.11956906,0.00200941,0.00198858,0.00198795,1.03644836,1.06787229,1.03644836,1.06787229,5.13605118,5.23407698,4.74789524,5.13605118,5.23407698,5.08455658,1.48497164,1.53887260,1.48497164,1.53887260,0.00064601,0.00063394,0.00058480,0.00062742
32.00000000,1.12893534,0.00217248,0.00215281,0.00215221,0.90500063,0.93287629,0.90500063,0.93287629,4.96416092,5.05797338,4.58735466,4.96416092,5.05797338,4.91416502,1.36781144,1.41470933,1.36781144,1.41470933,0.00062952,0.00061886,0.00056973,0.00061234
33.00000000,1.13706350,0.00205131,0.00203377,0.00203313,0.85477203,0.88594013,0.85477203,0.88594013,4.81593943,4.90637207,4.44820309,4.81593943,4.90637207,4.76715517,1.26524460,1.30673909,1.26524460,1.30673909,0.00061131,0.00060180,0.00055267,0.00059528
34.00000000,1.14513397,0.00204853,0.00203248,0.00203182,0.78314662,0.81569821,0.78314662,0.81569821,4.67833090,4.76578140,4.31884003,4.67833090,4.76578140,4.63064909,1.17419851,1.21181107,1.17419851,1.21181107,0.00059127,0.00058265,0.00053351,0.00057613
35.00000000,1.15273464,0.00200412,0.00198983,0.00198914,0.71281087,0.74718738,0.71281087,0.74718738,4.55243158,4.63730526,4.20011425,4.55243158,4.63730526,4.50569344,1.08399034,1.11883342,1.08399034,1.11883342,0.00057241,0.00056440,0.00051526,0.00055788
36.00000000,1.16142678,0.00211667,0.00210355,0.00210285,0.61988574,0.65286332,0.61988574,0.65286332,4.42632866,4.50867462,4.08155584,4.42632866,4.50867462,4.38059759,0.99079579,1.02373731,0.99079579,1.02373731,0.00055750,0.00054983,0.00050070,0.00054331
37.00000000,1.16976070,0.00208473,0.00207256,0.00207186,0.58357090,0.61733299,0.58357090,0.61733299,4.31086922,4.39095926,3.97280264,4.31086922,4.39095926,4.26602602,0.90621591,0.93845141,0.90621591,0.93845141,0.00054285,0.00053527,0.00048613,0.00052875
38.00000000,1.17646515,0.00192430,0.00191389,0.00191318,0.54063714,0.57746202,0.54063714,0.57746202,4.21081972,4.28911591,3.87782264,4.21081972,4.28911591,4.16664028,0.83297938,0.86558843,0.83297938,0.86558843,0.00052412,0.00051648,0.00046734,0.00050996
